song_title,artist,INDEX-VAL,index
"Trio Sonata in G Major, Wq. 144: I. Adagio",Carl Philipp Emanuel Bach,0.0073568,0
"Nocturne No.1 In B Flat Minor, Op.9 No.1",Frédéric Chopin,0.0077868,1
"Piano Quartet in E flat, Op.47: 3. Andante cantabile",Robert Schumann,0.0091728,2
"Mozart: Requiem in D Minor, K. 626: VIII. Lacrimosa",Nikolaus Harnoncourt,0.0094424,3
Skrillex Orchestral Suite By Varien - Bonus Track,Skrillex,0.0109472,4
Bumpy Road,Destruction Unit,0.0116754,5
Outro,M83,0.0126036,6
"Trio No. 2 en Mi Mineur, Op. 92: III. Andante con moto",Camille Saint-Saëns,0.0131924,7
Plagues,The End At The Beginning,0.0142786,8
"String Quintet in C Major, Op. 29: II. Adagio molto espressivo",Ludwig van Beethoven,0.0153278,9
Fool,Perfume Genius,0.0159552,10
Don't Die,Killer Mike,0.0161568,11
"My Heart Will Go On (Love Theme from ""Titanic"")",Céline Dion,0.0166272,12
Outro,M83,0.017967,13
Spiteful Nature,I Shall Devour,0.0181944,14
Night on Bald Mountain,Modest Mussorgsky,0.0183366,15
Senseless Order,Signs of the Swarm,0.0187,16
Be My Valentine (feat. Dickie Allen),Brojob,0.019278,17
So Lovely,Ben Wolfe,0.019536,18
The Last Goodbye,Nicholas Payton,0.019936,19
FVNERAL MOON,Lorna Shore,0.0207432,20
Plague,Crystal Castles,0.0209715,21
Here Comes The Night Time II,Arcade Fire,0.0211104,22
Before It's Time To Say Goodbye,Kenny Garrett,0.0211484,23
L$D,A$AP Rocky,0.0214682,24
Gary's Theme - Remastered,Bill Evans,0.021546,25
Warm In The Winter,Glass Candy,0.02223,26
Sous le Ciel de Paris,Jacky Terrasson,0.0228038,27
Pitchblack,Walking Dead On Broadway,0.0228124,28
Able to See Me,Hippie Sabotage,0.023091,29
Polaris,deadmau5,0.023316,30
"String Quartet No. 4 in C Major, D. 46: II. Andante con moto",Franz Schubert,0.0236835,31
The Shaping Sickness,Shadow of Intent,0.023826,32
Apathy,Shlohmo,0.0245213,33
Club Rez,Girl Unit,0.0246528,34
Mommy's Shawl,Yelena Eckemoff,0.024752,35
Trust,Roy Hargrove,0.0247779,36
Prismatic Abyss,Aversions Crown,0.0247793,37
"Damn Son, Where'd You Find This? - Future of TRAP Mix",Trendsetter,0.0248045,38
Damn Son Where'd You Find This? (feat. Kelly Holiday) - Markus Maximus Remix,Markus Maximus,0.0248045,39
Eyes Closed,Halsey,0.024992,40
Arrogance,Traitors,0.026332,41
Cloud Atlas End Title,Tom Tykwer,0.026373,42
Satellite,SALTNPAPER,0.0270655,43
Van Vogue,Azealia Banks,0.0272739,44
Blue Ballad,Phil Woods,0.027777,45
Eyes Be Closed,Washed Out,0.027945,46
1208,Extortionist,0.027948,47
Zerotonin 2,Darknet,0.02816,48
Skyscrapers,Daydreamer,0.0282854,49
"8 Fantasiestücke, Op.12 : 1. Des Abends",Robert Schumann,0.0285381,50
Night on Bald Mountain,Modest Mussorgsky,0.0294828,51
No Absolution,Thy Art Is Murder,0.029952,52
Where We Used To Live,Esbjörn Svensson Trio,0.0302278,53
Like Lust,MOVEMENT,0.030353,54
Poison,Martin Garrix,0.030371,55
Soil the Stillborn,Infant Annihilator,0.030444,56
Where Do You Start,Brad Mehldau Trio,0.0306606,57
Ruin,Altered Perceptions,0.031659,58
A Darkened Gospel,A Wake in Providence,0.0319865,59
Right Here,Keys N Krates,0.032144,60
Parachute,Joshua Micah,0.0327184,61
Kerosene,Crystal Castles,0.0332442,62
Rocking Chair,The Districts,0.03439,63
I Got It Bad,Enrico Pieranunzi,0.0348712,64
Viola Sonata in C Minor: III. Andante con variazioni,Felix Mendelssohn,0.035105,65
Bugatti,Ace Hood,0.0353976,66
Black Mammoth,Fit For An Autopsy,0.03552,67
Let Me Tell U,Jimmy Edgar,0.0362604,68
Your Soul,Hippie Sabotage,0.037012,69
Play by Play,Autre Ne Veut,0.03745,70
The Cause Of Christ,Kari Jobe,0.0374607,71
Marriage,Gold Panda,0.038064,72
The Nearness Of You,Bill Charlap,0.0382617,73
Beautiful Agony,Within The Ruins,0.0387536,74
You,Galantis,0.039192,75
Selfish,Future,0.0394665,76
Rope,Obscure of Acacia,0.03978,77
California Nights,Best Coast,0.039984,78
Rvtchet Bitch,Brillz & Teddy Tuxedo,0.0400371,79
Black Colors,Victim Of Deception,0.040053,80
On My Side,Kim Walker-Smith,0.04012,81
Calgary,Bon Iver,0.040495,82
Eleanor,Hank Jones,0.04077,83
Gramercy Sunset,The Hot Sardines,0.0408682,84
What A Beautiful Name,Hillsong Worship,0.0409464,85
I Have This Hope,Tenth Avenue North,0.0411028,86
Advent,Shotgun Surgeon,0.041124,87
Dance of the Witch,At Rest,0.04128,88
The Hills,The Weeknd,0.041296,89
Oh My Soul,Casting Crowns,0.042699,90
Better,Banks,0.042733,91
Paris - Pegboard Nerds Remix,The Chainsmokers,0.042957,92
Come Alive (Dry Bones),Lauren Daigle,0.04329,93
Even If,MercyMe,0.04355,94
Permanent Intoxication,Mycelia,0.044016,95
Good Morning.Goodbye,Dan Cray Trio,0.04536,96
Death Was Arrested,North Point InsideOut,0.045594,97
Hunger Of The Pine,alt-J,0.04608,98
Weight,Mikal Cronin,0.046494,99
"I See the Light - From ""Tangled""/Soundtrack Version",Mandy Moore,0.04776,100
I'm in LOVE With GO-GO Dancer (Disco Diva) - Future of TRAP Mix,Trendsetter,0.04794,101
We Wait,I Declare War,0.048158,102
Strobe - Radio Edit,deadmau5,0.0482856,103
Mantra - Mat Zo Remix,Noisia,0.048312,104
The Great Gig In The Sky - 2011 Remastered Version,Pink Floyd,0.0484,105
Isadora,Christian Scott,0.04883,106
"I Was So Young, and You Were So Beautiful",Bill Charlap,0.049135,107
The Peacocks,Anthony Wonsey Trio,0.049408,108
Weary,Solange,0.0495846,109
There Is a Cloud,Elevation Worship,0.049664,110
I Have Dreamed,Christian McBride,0.050312,111
Angel Eyes,"Tommy Flanagan, Ron Carter & Tony Williams",0.050952,112
Prove Me Wrong,Mandisa,0.051075,113
Cascade - Original Mix,Tommy Trash,0.0511808,114
Bitch,Allie X,0.0513996,115
One of Those Nights,Juicy J,0.0514836,116
The Daily Mail,Radiohead,0.05184,117
The Daily Mail,Radiohead,0.05184,118
Jackie Gets Out,Terence Blanchard,0.05235,119
Gooey,Glass Animals,0.05243,120
I Don't Sell Molly No More,ILoveMakonnen,0.05244,121
Desire,DILLY DALLY,0.05291,122
Pains,Silk Rhodes,0.052982,123
Queen,Perfume Genius,0.053086,124
The Call of Mighty,Crucify Me Gently,0.053332,125
Chemicals - Radio Edit,Tiësto,0.053958,126
Calling (Lose My Mind) - Radio Edit,Sebastian Ingrosso,0.054384,127
Can't Help Loving,Beegie Adair,0.054899,128
Quit (feat. Ariana Grande),Cashmere Cat,0.055,129
Said So What,French Kicks,0.055016,130
Monster,Kanye West,0.0553311,131
Dreamsville,David Halliday,0.055781,132
Burning youth,Hyukoh,0.055854,133
Cheap Beer,FIDLAR,0.056516,134
Spoon Me - Slushii Remix,Elliphant,0.056808,135
'Till I Collapse,Eminem,0.056914,136
Old Folks,Xavier Davis,0.05725,137
Hannah Hunt,Vampire Weekend,0.05727,138
Of Talons and Teeth,Reaping Asmodeia,0.057285,139
Too Bad I Have To Destroy You Now,Kid Cudi,0.0574896,140
Freak,Friction,0.057528,141
Shock Me,Baroness,0.057816,142
When Sunny Gets Blue,McCoy Tyner,0.058038,143
Wishes,Beach House,0.058218,144
Stay High - Habits Remix,Tove Lo,0.0583648,145
"Piano Sonata No. 18 in G Major, Op. 78, D. 894: IV. Allegretto",Franz Schubert,0.058506,146
The Walker,Gayngs,0.058692,147
So Close,Jon McLaughlin,0.059058,148
Temptress,Enterprise Earth,0.059124,149
I'm a Dildo,No Parents,0.05957,150
King Of The World,Natalie Grant,0.059664,151
Drifting In And Out,Porcelain Raft,0.059783,152
Wait for the Man,FIDLAR,0.0598,153
Stay,Rihanna,0.0599192,154
Fire In Your New Shoes (feat. Martina of Dragonette) - Sultan & Ned Shepard Electric Daisy Remix,Kaskade,0.059964,155
From This Moment On,Shania Twain,0.060348,156
The Cross Has The Final Word,Cody Carnes,0.060979,157
Chasing Heaven,Bassnectar,0.061134,158
We Fall Down,ASTR,0.0612048,159
Nowhere,Sarah Reeves,0.061502,160
Soul in Twilight,John Moulder,0.0616,161
Milly Rock,2milly,0.06165,162
Fauxhammer,Black Tongue,0.061812,163
Even So Come - Radio Version/Live,Passion,0.062608,164
I Wanna Be Your Dog,The Stooges,0.06324,165
I Remember Clifford,Lee Morgan,0.063296,166
The Night We Met,Lord Huron,0.064233,167
Raven,John Dahlbäck,0.064297,168
I Need You,Glass Figure,0.064692,169
How Deep Is Your Love?,The Rapture,0.064722,170
Satellites,DubVision,0.065076,171
Blue in Green,Miles Davis,0.065255,172
Crown Violet - Bonus Track,Azizi Gibson,0.065624,173
"I, the Weak",The Voynich Code,0.066013,174
Clean,Natalie Grant,0.066424,175
Emperor Jones - Instrumental,Joe Lovano,0.066528,176
Negative,FRCTRD,0.067308,177
Defiled,Hive,0.068376,178
City Of Dreams - Radio Edit,Dirty South,0.068544,179
Worthy Of Your Name - Studio,Passion,0.068571,180
False Hope,The Machinist,0.06874,181
"String Quartet No. 5 in C Major, Op. 29, ""Serenade"": II. Ballata: Allegretto scherzando",Wilhelm Stenhammar,0.06929,182
Pyramids,Frank Ocean,0.069373,183
The Man I Love,Marcus Roberts,0.06968,184
Tremendous Strain,Science Of Sleep,0.07008,185
Touch The Sky,Cedric Gervais,0.070263,186
Debris,Paragon,0.070532,187
A Thousand Years,Christina Perri,0.070728,188
Ballad for MC,Grace Kelly,0.07161,189
You Wouldn't Even Know,Flower Soo,0.07175,190
Earth Song - Remastered Version,Michael Jackson,0.072562,191
River,Ibeyi,0.072594,192
River,Ibeyi,0.072594,193
Stoned and Starving,Parquet Courts,0.072996,194
Shapeless Abomination,Beyond the Extraction,0.072998,195
Romance / Hommage à Milhaud,Enrico Pieranunzi,0.073188,196
All I See is Us,Sassy Players,0.0736,197
You Are My Special Angel,The Vogues,0.073868,198
Secret Love Song,Little Mix,0.074226,199
Almas vaggvisa,Jan Lundgren Trio,0.074496,200
To The Top,Twin Shadow,0.074646,201
Something About You - ODESZA Remix,Hayden James,0.075154,202
Walk With Me,Memoryhouse,0.075487,203
It All Feels Right,Washed Out,0.075524,204
Recover,CHVRCHES,0.075992,205
Oh My - Club Mix,The Partysquad,0.07631,206
Two Sleepy People,Marcus Gilmore,0.07654,207
Venomous,Whitechapel,0.076591,208
Recover,CHVRCHES,0.07683,209
Un-Break My Heart,Toni Braxton,0.076875,210
Gloomy Sunday,Branford Marsalis,0.077043,211
Ways Of Transfiguration,Buried Side,0.0774,212
Let You Go,Mot,0.077406,213
Mad Love.,JoJo,0.07756,214
Night Drive,Part Time,0.077945,215
Turn Down for What,DJ Snake,0.0779554,216
Leave Me Here,Triosence,0.077976,217
Waves - Acoustic,Dean Lewis,0.078246,218
Balance,Future Islands,0.078352,219
Count Your Blessings,Seamus Blake,0.078496,220
New World Slaughter,Iconoclast,0.07986,221
All The Way,Bob Berg,0.08037,222
Bring Me the Night,Sam Tsui feat. Kina Grannis,0.080565,223
The Winner Is - from Little Miss Sunshine,DeVotchKa,0.081096,224
Girlfriend,Ty Segall,0.081536,225
High Ball Stepper,Jack White,0.08172,226
Obedear,Purity Ring,0.08228,227
Hear Me Out,Risking It All,0.082476,228
Pyramids,Frank Ocean,0.08262,229
The Mighty Ming - Original Club Mix,Funkagenda,0.08316,230
This Lonely Morning,Best Coast,0.083345,231
Wake Bake Skate,FIDLAR,0.08364,232
Drown Me in Blood,Carnifex,0.08381,233
I Don't Love You,Urban Zakapa,0.08435,234
I Got It Bad And That Ain't Good,Oscar Peterson Trio,0.084672,235
To Encompass and Eclipse,A Trust Unclean,0.0849,236
The Nearness of You,Joshua Redman,0.08493,237
"Vid Frösö kyrka (At Frösö Church) - From Frösöblomster (Frösö Flowers) (arr. J. Ekberg, P.V. Johansson and L. Simonsson)",Trio X of Sweden,0.085065,238
Hold On We're Going Home,ASTR,0.085312,239
Skyscraper,Elephant,0.08541,240
Sleeping Ute,Grizzly Bear,0.085674,241
Before,Washed Out,0.08619,242
"Lyric Pieces, Book I Op. 12: I. Arietta",Edvard Grieg,0.086193,243
Drop Dead Baby,Ty Segall,0.087278,244
Plague of Immortality (feat. Dean Lamb Of Archspire),Within Destruction,0.087792,245
I Didn't Know About You,Johnny Hodges,0.088068,246
Don't Mean A Thing,Lapalux,0.08946,247
I'll Let You Know,David Hazeltine,0.09061,248
Fall In Love,Phantogram,0.090828,249
Good Morning Heartache,Scott Hamilton,0.090998,250
Waiting,Dash Berlin,0.0912,251
You Redeem - Studio Version,Aaron Shust,0.091245,252
Goodbye Pork Pie Hat,Charles Mingus,0.092204,253
A Song For Mama,Boyz II Men,0.092502,254
Inferno,"Above, Below",0.092547,255
Snow Cats,AFI,0.093324,256
5ft7,Tonstartssbandht,0.093412,257
Unchained Melody,The Righteous Brothers,0.093585,258
A Nightingale Sang In Berkeley Square,Stan Getz,0.09361,259
Obedear,Purity Ring,0.093636,260
Everything,R3hab,0.093912,261
Unbound,Cathedrals,0.09405,262
Together,Martin Garrix,0.094165,263
Can't Take It,Breathe Carolina,0.09456,264
The Folks Who Live on the Hill,Joshua Redman,0.094588,265
Holdin On,Flume,0.0946,266
Faded,Alan Walker,0.094829,267
Chords Of Life - Original Mix,Tim Mason,0.094985,268
Episode I - Duel of The Fates,John Williams,0.09548,269
Episode I - Duel of The Fates,John Williams,0.09548,270
Every Loser Wins,Nick Berry,0.095892,271
No Rest For The Wicked,Lykke Li,0.096096,272
The Sweetest Nighlife,Ellie & The Bunch,0.096475,273
O God Forgive Us,for KING & COUNTRY,0.096976,274
9,Willow,0.09712,275
We Own The Sky,M83,0.097356,276
Substance Affliction,Advocates,0.09751,277
Speak to a Girl,Tim McGraw,0.09758,278
It Never Entered my Mind,Mulgrew Miller,0.0979,279
To Live Is Christ,Sidewalk Prophets,0.097913,280
"Lone Wolf and Cub (feat. Herbie Hancock, Flying Lotus, Miguel Atwood-Ferguson & Mono/poly)",Thundercat,0.098044,281
Last Chance,Kaskade,0.098468,282
Words I Don't Remember,How To Dress Well,0.09991,283
Say The Word,Hillsong United,0.099957,284
I Think She Like Me,Rick Ross,0.100011,285
Down into the Abyss,Conjonctive,0.100298,286
Party Monster,The Weeknd,0.101205,287
Manufactured Existence,Lord of War,0.101346,288
Where or When,Wynton Marsalis,0.101386,289
Verge,Owl City,0.10175,290
My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.,0.102289,291
I'm a Fool to Want You,Passport Quartet,0.102396,292
Upper Echelon,Travis Scott,0.10244,293
After All,Khrebto,0.102648,294
Locket,Kilo Kish,0.102816,295
Norf Norf,Vince Staples,0.103395,296
Journey Into Melody - 2007 Digital Remaster,Stanley Turrentine,0.103525,297
Are you... Can you... Were you? (Felt),Shabazz Palaces,0.103914,298
Puppy Love,Donny Osmond,0.104095,299
Words I Don't Remember,How To Dress Well,0.104468,300
Gyöngyhajú lány,Omega,0.104538,301
Tattooed Heart,Ariana Grande,0.104874,302
Distorting of Perception,Until We Die,0.10556,303
Alright,Logic,0.105586,304
Walk On By - Single Version,Isaac Hayes,0.105774,305
Be A Body,Grimes,0.105984,306
We Are Young - The Popopopops Remix,Juveniles,0.105994,307
Bound 2,Kanye West,0.106264,308
Ironic,Alanis Morissette,0.106495,309
m.A.A.d city,Kendrick Lamar,0.107004,310
Monster,PALGOU,0.107709,311
Sign of the Times,Harry Styles,0.107844,312
Calm Down,Skip Marley,0.108225,313
Change The World (feat. Hollyn),Derek Minor,0.108724,314
I'll Wait And Pray,John Coltrane,0.108775,315
Phone Down - Dodge & Fuski Remix,Lost Kings,0.108885,316
MDA,Problem,0.109047,317
